"approach","dataset","nrow","depth","lambda","time_limit","status","obj_value","train_acc","gap","node_count","solving_time","cb_time_int","cb_time_int_suc","cb_counter_int","cb_counter_int_suc","test_acc","calib_acc","sample"
"FlowOCT","breast-cancer_enc.csv",207,4,0.1,600,9,-25.7000000000007,0.8695652173913043,98.7521979736456,10404.0,602.3463816642761,0,0,0,0,0.6285714285714286,0.8840579710144928,3
"binOCT","breast-cancer_enc.csv",207,4,0.1,600,9,26.999999999999954,0.8695652173913043,100.0,85588.0,604.7293636798859,0,0,0,0,0.6428571428571429,0.8840579710144928,3
"OCT","breast-cancer_enc.csv",207,4,0.1,600,9,2947.3000000000006,0.8260869565217391,1.123061785362871,531.0,603.4835405349731,0,0,0,0,0.6857142857142857,0.8260869565217391,3
"Cart","breast-cancer_enc.csv",207,4,0.1,600,"NA","NA",0.7198067632850241,"NA","NA",0.0019953250885009766,"NA","NA","NA","NA",0.6714285714285714,0.6956521739130435,4
"BendersOCT","breast-cancer_enc.csv",207,4,0.1,600,9,-34.100000000000705,0.821256038647343,98.80024344354399,14493.0,791.1089930534363,6.935017347335815,6.7506797313690186,171,155,0.7571428571428571,0.782608695652174,4
"FlowOCT","breast-cancer_enc.csv",207,4,0.1,600,9,-29.400000000000716,0.8502415458937198,98.81350977890855,10339.0,608.5205233097076,0,0,0,0,0.6857142857142857,0.8260869565217391,4
"binOCT","breast-cancer_enc.csv",207,4,0.1,600,9,30.0,0.855072463768116,100.0,35030.0,604.7807245254517,0,0,0,0,0.7571428571428571,0.855072463768116,4
"OCT","breast-cancer_enc.csv",207,4,0.1,600,9,2940.9000000000005,0.7922705314009661,1.3431262538678634,547.0,603.1593308448792,0,0,0,0,0.7714285714285715,0.782608695652174,4
"Cart","breast-cancer_enc.csv",207,5,0.1,600,"NA","NA",0.7053140096618358,"NA","NA",0.002992868423461914,"NA","NA","NA","NA",0.7142857142857143,0.7391304347826086,1
"BendersOCT","breast-cancer_enc.csv",207,5,0.1,600,9,-27.10000000000076,0.8647342995169082,98.48109589714515,22733.0,600.0254299640656,18.785545825958252,18.40151023864746,239,221,0.7285714285714285,0.9130434782608695,1
"FlowOCT","breast-cancer_enc.csv",207,5,0.1,600,9,-21.300000000000693,0.8985507246376812,98.48148379495073,8637.0,606.823816537857,0,0,0,0,0.6857142857142857,0.927536231884058,1
"binOCT","breast-cancer_enc.csv",207,5,0.1,600,9,27.999999999999865,0.8647342995169082,100.0,41362.0,611.6017687320709,0,0,0,0,0.7142857142857143,0.927536231884058,1
"OCT","breast-cancer_enc.csv",207,5,0.1,600,9,5916.900000000003,0.7632850241545893,0.7487028680558949,1.0,614.5934498310089,0,0,0,0,0.7714285714285715,0.8115942028985508,1
"Cart","breast-cancer_enc.csv",207,5,0.1,600,"NA","NA",0.6908212560386473,"NA","NA",0.007519245147705078,"NA","NA","NA","NA",0.7571428571428571,0.6956521739130435,2
