approach,dataset,nrow,depth,lambda,time_limit,status,obj_value,train_acc,gap,node_count,solving_time,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc,test_acc,calib_acc,sample,warmstart
FlowOCT,synthetic100_10_3.csv,75,3,0.0,600,2.0,-0.0,1.0,0.0,66251.0,127.55079317092896,0.0,0.0,0.0,0.0,1.0,1.0,2,1.0
binOCT,synthetic100_10_3.csv,75,3,0.0,600,2.0,0.0,1.0,0.0,1712.0,3.115751028060913,0.0,0.0,0.0,0.0,1.0,1.0,2,1.0
OCT,synthetic100_10_3.csv,75,3,0.0,600,2.0,600.0,1.0,0.0,19199.0,270.27318716049194,0.0,0.0,0.0,0.0,1.0,1.0,2,1.0
BendersOCT,synthetic100_10_3.csv,75,3,0.0,600,2.0,-0.0,1.0,0.0,52131.0,59.87153315544128,0.4114429950714111,0.3771674633026123,39.0,36.0,1.0,1.0,3,1.0
Cart,synthetic100_10_3.csv,75,3,0.0,600,,,0.9333333333333332,,,0.0019989013671875,,,,,0.92,0.92,3,
FlowOCT,synthetic100_10_3.csv,75,3,0.0,600,2.0,-0.0,1.0,0.0,3593.0,20.921046257019043,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0
binOCT,synthetic100_10_3.csv,75,3,0.0,600,2.0,0.0,1.0,0.0,32423.0,54.0634446144104,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0
OCT,synthetic100_10_3.csv,75,3,0.0,600,2.0,600.0,1.0,0.0,8283.0,136.97940611839294,0.0,0.0,0.0,0.0,1.0,1.0,3,1.0
BendersOCT,synthetic100_10_3.csv,75,3,0.0,600,2.0,-0.0,1.0,0.0,6879.0,9.69397759437561,0.5017218589782715,0.4521896839141845,62.0,49.0,1.0,1.0,4,1.0
Cart,synthetic100_10_3.csv,75,3,0.0,600,,,0.9466666666666668,,,0.0059812068939208,,,,,0.92,0.96,4,
